%	reads	taxReads	kmers	dup	cov	taxID	rank	taxName
0.1051	101	101	13534303	2.48	NA	0	no rank	unclassified
99.89	96025	12	61124	351	1.814e-06	1	no rank	root
97.91	94115	0	60403	337	1.809e-06	131567	no rank	  cellular organisms
97.91	94115	92	60052	337	2.008e-06	2	superkingdom	    Bacteria
59.8	57486	34	23459	287	2.072e-06	1783272	clade	      Terrabacteria group
59.29	56993	158	18713	340	4.429e-06	1239	phylum	        Firmicutes
47.02	45195	5	10375	394	1.078e-05	186801	class	          Clostridia
47	45175	792	10059	405	1.163e-05	186802	order	            Eubacteriales
29.38	28239	574	2778	710	2.511e-05	216572	family	              Oscillospiraceae
14.45	13889	0	96	3.85e+03	4.107e-05	2842531	genus	                Solibaculum
14.45	13889	13889	96	3.85e+03	4.107e-05	2780922	species	                  Solibaculum mannosilyticum
5.972	5741	4560	302	1.02e+03	6.796e-05	2892396	genus	                Vescimonas
1.08	1038	1038	90	893	4.129e-05	2714355	species	                  Vescimonas coprocola
0.1488	143	143	105	7.97	4.876e-05	2714353	species	                  Vescimonas fastidiosa
4.211	4048	3170	414	911	1.544e-05	216851	genus	                Faecalibacterium
0.9134	878	878	135	109	1.559e-05	853	species	                  Faecalibacterium prausnitzii
1.269	1220	0	330	198	0.0001033	2591381	genus	                Dysosmobacter
1.269	1220	1220	330	198	0.0001033	2093857	species	                  Dysosmobacter welbionis
0.9186	883	0	185	460	4.435e-05	1905344	genus	                Ruthenibacterium
0.9186	883	883	185	460	4.435e-05	1550024	species	                  Ruthenibacterium lactatiformans
0.6138	590	0	109	323	3.383e-05	244127	genus	                Anaerotruncus
0.6138	590	590	109	323	3.383e-05	169435	species	                  Anaerotruncus colihominis
0.5212	501	0	68	195	2.278e-05	253238	genus	                Ethanoligenens
0.5212	501	501	68	195	2.278e-05	253239	species	                  Ethanoligenens harbinense
0.3433	330	26	247	77.1	2.626e-05	1263	genus	                Ruminococcus
0.283	272	272	80	198	3.476e-05	2564099	species	                  Ruminococcus bovis
0.01873	18	18	110	9.84	3.871e-05	1160721	species	                  Ruminococcus bicirculans
0.01456	14	0	19	24.3	4.461e-06	1264	species	                  Ruminococcus albus
0.01456	14	14	19	24.3	4.461e-06	697329	strain	                    Ruminococcus albus 7 = DSM 20455
0.2351	226	0	150	108	1.99e-05	946234	genus	                Flavonifractor
0.2351	226	226	150	108	1.99e-05	292800	species	                  Flavonifractor plautii
0.1488	143	0	203	42.3	6.351e-05	2892397	genus	                Pusillibacter
0.1488	143	143	203	42.3	6.351e-05	2714358	species	                  Pusillibacter faecalis
0.05618	54	20	95	236	1.929e-05	2834348	genus	                Caproicibacterium
0.03121	30	30	26	58.6	8.932e-06	2766537	species	                  Caproicibacterium amylolyticum
0.004161	4	4	53	6.51	2.659e-05	2666138	species	                  Caproicibacterium lactatifermentans
0.01873	18	0	30	8.33	1.728e-05	1637257	genus	                Mageeibacillus
0.01873	18	0	30	8.33	1.728e-05	884684	species	                  Mageeibacillus indolicus
0.01873	18	18	30	8.33	1.728e-05	699246	strain	                    Mageeibacillus indolicus UPII9-5
0.01456	14	0	46	13.8	2.751e-05	236752	genus	                Fastidiosipila
0.01456	14	14	46	13.8	2.751e-05	236753	species	                  Fastidiosipila sanguinis
0.005202	5	0	24	5.38	2.13e-06	35829	genus	                Acetivibrio
0.005202	5	5	16	7.44	5.116e-06	1677857	species	                  Acetivibrio saccincola
0.00104	1	0	10	16.6	2.989e-06	2304691	genus	                Thermoclostridium
0.00104	1	1	10	16.6	2.989e-06	1510	species	                  Thermoclostridium stercorarium
0.00104	1	0	18	9	4.099e-06	2304693	genus	                Pseudoclostridium
0.00104	1	1	18	9	4.099e-06	84032	species	                  Pseudoclostridium thermosuccinogenes
0.00104	1	0	11	2.09	2.89e-06	2576755	genus	                Caproicibacter
0.00104	1	1	11	2.09	2.89e-06	2576756	species	                  Caproicibacter fermentans
15.5	14902	772	3689	244	1.983e-05	186803	family	              Lachnospiraceae
4.072	3914	738	457	147	1.317e-05	572511	genus	                Blautia
2.464	2369	2369	60	533	1.765e-05	2779518	species	                  Blautia liquoris
0.6533	628	0	65	267	8.666e-06	2648079	no rank	                  unclassified Blautia
0.6533	628	628	65	267	3.198e-05	2479767	species	                    Blautia sp. SC05B48
0.1228	118	118	69	45.1	3.383e-05	1737424	species	                  Blautia massiliensis
0.04057	39	39	44	9.05	1.458e-05	1912897	species	                  Blautia argi
0.01352	13	13	23	11.9	2.71e-06	33035	species	                  Blautia producta
0.009363	9	0	5	4.2	1.856e-06	1322	species	                  Blautia hansenii
0.009363	9	9	5	4.2	1.856e-06	537007	strain	                    Blautia hansenii DSM 20583
2.297	2208	0	211	935	6.464e-05	2944193	genus	                Simiaoa
2.297	2208	2208	211	935	6.464e-05	2763672	species	                  Simiaoa sunii
2.152	2069	1618	471	222	4.582e-05	841	genus	                Roseburia
0.2601	250	250	313	22.9	9.757e-05	301301	species	                  Roseburia hominis
0.2091	201	0	27	27.8	8.312e-06	166486	species	                  Roseburia intestinalis
0.2091	201	201	27	27.8	8.312e-06	536231	strain	                    Roseburia intestinalis L1-82
1.622	1559	0	361	335	0.0001318	28050	genus	                Lachnospira
1.622	1559	1559	361	335	0.0001318	39485	species	                  Lachnospira eligens
1.085	1043	0	225	55.9	8.451e-06	1506553	genus	                Lachnoclostridium
0.6387	614	614	136	53.4	1.728e-05	29347	species	                  [Clostridium] scindens
0.4234	407	407	43	116	8.934e-06	89153	species	                  [Clostridium] hylemonae
0.009363	9	9	14	10.4	4.303e-06	1871021	species	                  Lachnoclostridium phocaeense
0.009363	9	0	18	5.67	3.777e-06	66219	species	                  Lachnoclostridium phytofermentans
0.009363	9	9	18	5.67	3.777e-06	357809	strain	                    Lachnoclostridium phytofermentans ISDg
0.004161	4	0	14	3.29	2.368e-06	2608895	no rank	                  unclassified Lachnoclostridium
0.004161	4	4	14	3.29	2.368e-06	1834196	species	                    Lachnoclostridium sp. YL32
0.7657	736	0	67	284	2.195e-05	2039240	genus	                Anaerotignum
0.7657	736	0	67	284	2.195e-05	28446	species	                  Anaerotignum propionicum
0.7657	736	736	67	284	2.195e-05	991789	strain	                    Anaerotignum propionicum DSM 1682
