%	reads	taxReads	kmers	dup	cov	taxID	rank	taxName
0.003447	2	2	1708368	5.17	NA	0	no rank	unclassified
100	58024	0	42915	567	1.273e-06	1	no rank	root
99.57	57776	0	42296	567	1.267e-06	131567	no rank	  cellular organisms
99.57	57775	8	42142	569	1.409e-06	2	superkingdom	    Bacteria
56.22	32623	3	17853	596	1.577e-06	1783272	clade	      Terrabacteria group
55.87	32422	10	14215	722	3.364e-06	1239	phylum	        Firmicutes
35.84	20796	2	1583	3.15e+03	2.101e-05	909932	class	          Negativicutes
33.55	19468	0	602	7.74e+03	1.467e-05	909929	order	            Selenomonadales
33.55	19468	2	559	8.34e+03	2.658e-05	1843491	family	              Selenomonadaceae
33.55	19465	11	381	1e+04	6.136e-05	158846	genus	                Megamonas
33.52	19453	19453	271	1.1e+04	6.674e-05	437897	species	                  Megamonas funiformis
0.001723	1	1	36	27.2	1.712e-05	158847	species	                  Megamonas hypermegale
0.001723	1	0	77	31.5	6.398e-06	970	genus	                Selenomonas
0.001723	1	1	60	16.2	1e-05	2637378	no rank	                  unclassified Selenomonas
1.944	1128	0	395	760	4.317e-05	1843488	order	            Acidaminococcales
1.944	1128	1	395	760	4.317e-05	909930	family	              Acidaminococcaceae
1.725	1001	0	217	955	4.824e-05	33024	genus	                Phascolarctobacterium
1.725	1001	1001	217	955	4.824e-05	33025	species	                  Phascolarctobacterium faecium
0.2171	126	1	106	138	2.279e-05	904	genus	                Acidaminococcus
0.2154	125	0	46	177	2.036e-05	905	species	                  Acidaminococcus fermentans
0.2154	125	125	46	177	2.036e-05	591001	strain	                    Acidaminococcus fermentans DSM 20731
0.3412	198	0	586	30.7	2.331e-05	1843489	order	            Veillonellales
0.3412	198	0	586	30.7	2.331e-05	31977	family	              Veillonellaceae
0.2447	142	1	130	72.7	1.434e-05	906	genus	                Megasphaera
0.243	141	141	53	76.7	2.097e-05	2144175	species	                  Megasphaera stantonii
0.06549	38	4	383	18.9	3.101e-05	29465	genus	                Veillonella
0.05859	34	34	139	16.1	3.531e-05	29466	species	                  Veillonella parvula
0.03102	18	0	57	11.4	1.53e-05	39948	genus	                Dialister
0.03102	18	18	27	8.33	2.174e-05	39950	species	                  Dialister pneumosintes
19.66	11410	0	7526	344	7.823e-06	186801	class	          Clostridia
19.66	11408	51	7271	354	8.407e-06	186802	order	            Eubacteriales
11.87	6887	268	2624	190	1.411e-05	186803	family	              Lachnospiraceae
3.164	1836	1611	345	354	9.946e-06	572511	genus	                Blautia
0.2826	164	164	17	23.2	2.003e-06	33035	species	                  Blautia producta
0.0517	30	0	91	11.6	1.213e-05	2648079	no rank	                  unclassified Blautia
